Unnamed: 0,City,Address,Type,Price,Rooms,Build Size,Floor,מזגן,חניה,סורגים,מרוהטת,משופצת,מחסן,מעלית,"ממ""ד",נגישות,מרפסת
1,תל אביב יפו,טרומפלדור 48,דירת גן,14000,4.0,90,0,1,0,0,1,1,0,0,0,0,1
2,תל אביב יפו,נהרדעא 10,דירה,9900,3.0,90,4,1,1,0,0,0,0,1,0,1,0
3,תל אביב יפו,גרציאני יצחק 6,דירה,8500,3.0,74,0,1,1,0,0,0,1,1,1,1,1
4,תל אביב יפו,"ש""ץ 5",דירה,9200,2.5,60,4,1,1,0,0,0,0,1,0,0,0
5,תל אביב יפו,הגולן 24,בית פרטי/קוטג',12000,5.0,350,0,1,0,0,0,0,1,1,0,0,1
6,תל אביב יפו,יציאת אירופה 20,דירה,3900,1.5,55,2,1,0,0,1,1,0,0,0,0,1
7,תל אביב יפו,חכמי אתונה 53,בית פרטי/קוטג',5200,2.5,90,0,1,0,1,0,0,0,0,0,1,0
8,תל אביב יפו,סוטין 19,דירה,6700,3.0,70,0,1,0,1,0,1,0,0,0,1,1
9,תל אביב יפו,מעפילי אגוז 29,דירת גן,6200,3.0,70,0,1,1,1,0,0,0,1,1,1,0
10,תל אביב יפו,האמוראים 7,דירה,8000,4.0,80,3,1,0,0,1,0,0,0,0,0,0
11,תל אביב יפו,בארי 36,דירה,12500,3.5,100,10,1,0,0,1,0,0,1,0,0,0
12,תל אביב יפו,"פ""ד 8",גג/פנטהאוז,3100,1.0,84,3,1,1,0,0,1,0,0,0,0,1
13,תל אביב יפו,גרציאני יצחק 4,דירה,0,4.0,102,8,1,1,0,1,1,0,1,1,1,1
14,תל אביב יפו,בזל 39,דירה,6600,2.5,55,3,1,0,0,0,0,0,0,0,0,0
15,תל אביב יפו,קהילת ורשה 75,דירה,3500,1.5,30,1,1,0,1,0,0,0,0,0,0,0
16,תל אביב יפו,פרי מגדים 13,דירה,6500,2.0,215,1,1,0,0,0,1,0,0,0,0,0
17,תל אביב יפו,אלנבי 98,דירה,5800,2.0,52,2,1,0,0,0,0,0,0,0,0,1
18,תל אביב יפו,עולי הגרדום 9,דירה,11000,3.5,150,1,1,0,1,0,1,0,0,1,0,0
19,תל אביב יפו,"מהר""ל 12",דירה,9000,3.0,80,3,1,0,0,0,1,0,1,0,0,1
20,תל אביב יפו,רמז 8,דירה,5500,2.5,72,2,1,0,1,1,0,0,0,0,0,0
21,תל אביב יפו,הרב קוק 33,דירה,12000,2.0,72,0,1,1,0,0,1,0,1,0,0,1
22,תל אביב יפו,אבן גבירול 179,דירה,8800,3.0,80,3,1,0,0,0,1,0,1,0,1,1
23,תל אביב יפו,דרור 23,סאבלט,300,3.0,90,1,1,0,1,1,1,0,0,0,0,1
24,תל אביב יפו,ירמיהו 23,דירה,16000,3.0,120,5,1,0,0,1,0,0,1,0,1,1
25,תל אביב יפו,משה ברזאני 11,דירה,14000,5.0,160,1,1,1,1,1,1,0,1,0,1,0
26,תל אביב יפו,קהילת לבוב 22,דירה,3600,1.5,30,2,1,0,1,1,0,0,0,0,0,1
27,תל אביב יפו,מטלון,דירה,7700,2.0,66,4,1,1,0,1,1,0,1,0,0,1
